Id,SalePrice
1461,124693.62350293076
1462,155709.45196614944
1463,186166.62196288066
1464,196379.44843099298
1465,185984.71755904303
1466,177528.28740603602
1467,176694.57144730503
1468,164924.42549774592
1469,181361.51185408942
1470,122612.64422052354
1471,199825.1517681679
1472,97147.87889036625
1473,95686.1581191999
1474,151393.92081613938
1475,119878.77892722649
1476,366357.3436035473
1477,243160.41070777553
1478,289152.7422644177
1479,287153.54092770873
1480,485515.3934580505
1481,331791.9488546033
1482,197481.49536624074
1483,171877.75696273017
1484,170703.05480193376
1485,181156.73401909246
1486,194846.13734497523
1487,327976.5895578459
1488,232961.60388700804
1489,199554.58564750096
1490,223403.83870030972
1491,195851.749971738
1492,86893.8382137595
1493,189877.00447089825
1494,303975.60399755865
1495,287308.121369642
1496,244122.4539321109
1497,181651.42189914885
1498,160235.40956750896
1499,160256.87506704734
1500,149851.34039025853
1501,173504.87954454363
1502,153191.3162065789
1503,279494.7541911018
1504,233617.9401995788
1505,223971.73224099673
1506,178845.13880369073
1507,247579.40716902493
1508,199883.41911377962
1509,154968.5906050092
1510,143813.7765277173
1511,144597.2638613877
1512,172137.2522117144
1513,136146.8152388628
1514,176210.7807745525
1515,192899.908075873
1516,156894.69329733233
1517,161744.45835011438
1518,135636.24325725684
1519,225178.2275705926
1520,133284.9526298742
1521,132995.03277237518
1522,171441.9734284727
1523,109204.71189823296
1524,124079.46742738668
1525,123650.34826313604
1526,118845.7397220909
1527,104203.04185794739
1528,131587.20583153845
1529,147819.39878483288
1530,171354.80695119742
1531,110564.93893213026
1532,103931.21995287105
1533,142321.8358491979
1534,120060.59319087198
1535,158226.6039219909
1536,107537.35735978142
1537,69551.62289584604
1538,156437.08172623735
1539,203561.9974266019
1540,100214.51521644046
1541,137211.12072119315
1542,133896.6841752784
1543,192209.25587204786
1544,83051.95819071005
1545,102788.45765266729
1546,126674.79279723212
1547,129576.74509086894
1548,127368.084332493
1549,112802.88313722992
1550,137129.57513571114
1551,117228.34637061859
1552,136819.55235222797
1553,152056.85536861303
1554,112642.27109771503
1555,161505.35326830242
1556,79665.30588983139
1557,102313.00819001862
1558,87830.93426211488
1559,76523.15585432916
1560,149762.7229921807
1561,133129.50863103592
1562,135486.13242927068
1563,119648.92721689615
1564,158045.1952752548
1565,147955.13593651156
1566,242318.12601165555
1567,74297.63799213227
1568,226650.96972241937
1569,138538.83280457387
1570,137477.6983227848
1571,123219.20392685928
1572,149172.40229057483
1573,249964.6786664502
1574,117620.97645535339
1575,226262.6001470261
1576,241717.9633131965
1577,189413.21151738588
1578,141431.81125573043
1579,149527.72745587135
1580,190588.06231777638
1581,154283.04724646342
1582,128095.24011440575
1583,330510.929682952
1584,231366.7262632147
1585,141551.66737205238
1586,71234.14831578986
1587,96719.63923583104
1588,146771.35137910125
1589,94743.09375958478
1590,136963.64050822586
1591,93460.56205239952
1592,123604.10922846227
1593,125763.23806957016
1594,128520.37100574972
1595,113959.75043716682
1596,231232.96909078592
1597,191460.05073488716
1598,206061.16009986718
1599,174869.60788194058
1600,180649.3204282836
1601,70783.65571069645
1602,108443.51909532645
1603,81796.66318146954
1604,281758.9151917481
1605,253768.36264570063
1606,170685.1602494118
1607,174338.10390944223
1608,215376.75528929543
1609,185494.84464125114
1610,147759.919526441
1611,141206.4905002638
1612,167524.26266056084
1613,169226.98904361392
1614,130881.44495720835
1615,90160.11820853023
1616,73700.7005647231
1617,92739.57860396514
1618,127441.3997192891
1619,144625.62249711086
1620,179433.56735331606
1621,134508.80877534222
1622,137771.29590264676
1623,291435.2085033449
1624,228522.44365382288
1625,123963.71536491948
1626,160483.46425032467
1627,186722.70020694402
1628,272955.08151525346
1629,175777.83335680718
1630,329719.02100973704
1631,204472.56482260404
1632,226720.71458207755
1633,168593.6954287311
1634,184092.91747913594
1635,176411.47880686322
1636,153974.8715384683
1637,193901.32891766395
1638,196531.88841700638
1639,178825.22414932767
1640,256011.55493208693
1641,169763.6550799394
1642,225945.03963321954
1643,217061.02166171285
1644,220040.4307781534
1645,193478.40454893716
1646,159512.8042111169
1647,160158.8992461053
1648,130953.68381933076
1649,139163.7484434321
1650,112047.771650786
1651,122801.61303425109
1652,99325.54985327907
1653,100720.38145207886
1654,148747.85057144455
1655,147543.74317761936
1656,142695.17529577613
1657,148420.5141697744
1658,143631.66620655768
1659,127639.53653796401
1660,159847.22335920692
1661,457420.6113084007
1662,394143.49448930664
1663,414000.68582304445
1664,475902.17353718815
1665,307678.7409147766
1666,337554.8301670619
1667,405521.79984915006
1668,339092.27376888803
1669,303608.0969730351
1670,359666.10509821743
1671,262805.1839753434
1672,442439.07924227265
1673,304641.9479855918
1674,242364.5559127533
1675,184633.11177338377
1676,189649.4343377242
1677,208559.51503687704
1678,441785.34603105293
1679,407232.69965716917
1680,334421.3166223982
